example_id                                            | status | run_time        |
----------------------------------------------------- | ------ | --------------- |
./spec/gem_guard/analyzer_spec.rb[1:1:1]              | passed | 0.00004 seconds |
./spec/gem_guard/analyzer_spec.rb[1:1:2]              | passed | 0.00049 seconds |
./spec/gem_guard/analyzer_spec.rb[1:1:3]              | passed | 0.0003 seconds  |
./spec/gem_guard/analyzer_spec.rb[2:1:1]              | passed | 0.00004 seconds |
./spec/gem_guard/analyzer_spec.rb[2:1:2]              | passed | 0.00002 seconds |
./spec/gem_guard/analyzer_spec.rb[2:2:1]              | passed | 0.00005 seconds |
./spec/gem_guard/auto_fixer_spec.rb[1:1:1:1]          | passed | 0.00048 seconds |
./spec/gem_guard/auto_fixer_spec.rb[1:1:1:2]          | passed | 0.00032 seconds |
./spec/gem_guard/auto_fixer_spec.rb[1:1:1:3]          | passed | 0.0006 seconds  |
./spec/gem_guard/auto_fixer_spec.rb[1:1:1:4]          | passed | 0.0007 seconds  |
./spec/gem_guard/auto_fixer_spec.rb[1:1:2:1]          | passed | 0.0006 seconds  |
./spec/gem_guard/auto_fixer_spec.rb[1:1:2:2]          | passed | 0.00032 seconds |
./spec/gem_guard/auto_fixer_spec.rb[1:1:3:1]          | passed | 0.00192 seconds |
./spec/gem_guard/auto_fixer_spec.rb[1:2:1:1]          | passed | 0.00033 seconds |
./spec/gem_guard/auto_fixer_spec.rb[1:2:1:2]          | passed | 0.00073 seconds |
./spec/gem_guard/auto_fixer_spec.rb[1:2:2:1]          | passed | 0.00034 seconds |
./spec/gem_guard/auto_fixer_spec.rb[1:2:2:2]          | passed | 0.00031 seconds |
./spec/gem_guard/auto_fixer_spec.rb[1:2:3:1]          | passed | 0.00032 seconds |
./spec/gem_guard/cli_snapshot_spec.rb[1:1]            | passed | 0.00161 seconds |
./spec/gem_guard/cli_snapshot_spec.rb[1:2]            | passed | 0.00088 seconds |
./spec/gem_guard/cli_spec.rb[1:1:1]                   | passed | 0.00032 seconds |
./spec/gem_guard/cli_spec.rb[1:1:2]                   | passed | 0.00033 seconds |
./spec/gem_guard/cli_spec.rb[1:2:1]                   | passed | 0.00032 seconds |
./spec/gem_guard/cli_spec.rb[1:2:2]                   | passed | 0.00031 seconds |
./spec/gem_guard/cli_spec.rb[1:3:1]                   | passed | 0.00048 seconds |
./spec/gem_guard/cli_spec.rb[1:3:2]                   | passed | 0.0004 seconds  |
./spec/gem_guard/config_spec.rb[1:1:1:1]              | passed | 0.00022 seconds |
./spec/gem_guard/config_spec.rb[1:1:2:1]              | passed | 0.00032 seconds |
./spec/gem_guard/config_spec.rb[1:1:3:1]              | passed | 0.00018 seconds |
./spec/gem_guard/config_spec.rb[1:2:1]                | passed | 0.0001 seconds  |
./spec/gem_guard/config_spec.rb[1:2:2]                | passed | 0.00013 seconds |
./spec/gem_guard/config_spec.rb[1:3:1]                | passed | 0.00044 seconds |
./spec/gem_guard/config_spec.rb[1:4:1]                | passed | 0.00013 seconds |
./spec/gem_guard/config_spec.rb[1:4:2]                | passed | 0.00014 seconds |
./spec/gem_guard/config_spec.rb[1:5:1]                | passed | 0.00014 seconds |
./spec/gem_guard/config_spec.rb[1:5:2]                | passed | 0.00013 seconds |
